city,year,weekofyear,total_cases
sj,2008,18,8
sj,2008,19,9
sj,2008,20,8
sj,2008,21,9
sj,2008,22,13
sj,2008,23,14
sj,2008,24,14
sj,2008,25,17
sj,2008,26,20
sj,2008,27,22
sj,2008,28,23
sj,2008,29,26
sj,2008,30,30
sj,2008,31,38
sj,2008,32,48
sj,2008,33,44
sj,2008,34,51
sj,2008,35,49
sj,2008,36,54
sj,2008,37,56
sj,2008,38,58
sj,2008,39,60
sj,2008,40,72
sj,2008,41,70
sj,2008,42,70
sj,2008,43,65
sj,2008,44,67
sj,2008,45,64
sj,2008,46,61
sj,2008,47,61
sj,2008,48,60
sj,2008,49,53
sj,2008,50,45
sj,2008,51,36
sj,2008,52,32
sj,2009,1,35
sj,2009,2,32
sj,2009,3,32
sj,2009,4,30
sj,2009,5,26
sj,2009,6,24
sj,2009,7,21
sj,2009,8,19
sj,2009,9,19
sj,2009,10,19
sj,2009,11,14
sj,2009,12,12
sj,2009,13,12
sj,2009,14,10
sj,2009,15,10
sj,2009,16,10
sj,2009,17,8
sj,2009,18,10
sj,2009,19,11
sj,2009,20,10
sj,2009,21,10
sj,2009,22,13
sj,2009,23,15
sj,2009,24,14
sj,2009,25,17
sj,2009,26,20
sj,2009,27,22
sj,2009,28,23
sj,2009,29,26
sj,2009,30,30
sj,2009,31,39
sj,2009,32,49
sj,2009,33,45
sj,2009,34,51
sj,2009,35,50
sj,2009,36,55
sj,2009,37,57
sj,2009,38,58
sj,2009,39,60
sj,2009,40,72
sj,2009,41,71
sj,2009,42,70
sj,2009,43,66
sj,2009,44,67
sj,2009,45,64
sj,2009,46,61
sj,2009,47,61
sj,2009,48,60
sj,2009,49,53
sj,2009,50,45
sj,2009,51,36
sj,2009,52,32
sj,2010,53,35
sj,2010,1,32
sj,2010,2,32
sj,2010,3,30
sj,2010,4,26
sj,2010,5,24
sj,2010,6,22
sj,2010,7,19
sj,2010,8,19
sj,2010,9,19
sj,2010,10,14
sj,2010,11,12
sj,2010,12,12
sj,2010,13,10
sj,2010,14,10
sj,2010,15,10
sj,2010,16,8
sj,2010,17,10
