city,year,weekofyear,total_cases
sj,2008,18,16
sj,2008,19,19
sj,2008,20,12
sj,2008,21,15
sj,2008,22,25
sj,2008,23,14
sj,2008,24,21
sj,2008,25,24
sj,2008,26,34
sj,2008,27,38
sj,2008,28,24
sj,2008,29,24
sj,2008,30,41
sj,2008,31,26
sj,2008,32,48
sj,2008,33,69
sj,2008,34,46
sj,2008,35,45
sj,2008,36,50
sj,2008,37,103
sj,2008,38,38
sj,2008,39,39
sj,2008,40,34
sj,2008,41,48
sj,2008,42,54
sj,2008,43,25
sj,2008,44,40
sj,2008,45,36
sj,2008,46,30
sj,2008,47,32
sj,2008,48,38
sj,2008,49,18
sj,2008,50,21
sj,2008,51,19
sj,2008,52,14
sj,2009,1,40
sj,2009,2,8
sj,2009,3,16
sj,2009,4,25
sj,2009,5,15
sj,2009,6,16
sj,2009,7,15
sj,2009,8,18
sj,2009,9,20
sj,2009,10,9
sj,2009,11,25
sj,2009,12,7
sj,2009,13,7
sj,2009,14,13
sj,2009,15,8
sj,2009,16,10
sj,2009,17,13
sj,2009,18,17
sj,2009,19,14
sj,2009,20,26
sj,2009,21,22
sj,2009,22,21
sj,2009,23,25
sj,2009,24,24
sj,2009,25,31
sj,2009,26,30
sj,2009,27,14
sj,2009,28,30
sj,2009,29,27
sj,2009,30,25
sj,2009,31,33
sj,2009,32,20
sj,2009,33,40
sj,2009,34,29
sj,2009,35,37
sj,2009,36,38
sj,2009,37,39
sj,2009,38,31
sj,2009,39,27
sj,2009,40,46
sj,2009,41,86
sj,2009,42,48
sj,2009,43,32
sj,2009,44,26
sj,2009,45,25
sj,2009,46,15
sj,2009,47,30
sj,2009,48,19
sj,2009,49,40
sj,2009,50,26
sj,2009,51,51
sj,2009,52,19
sj,2010,53,28
sj,2010,1,42
sj,2010,2,26
sj,2010,3,33
sj,2010,4,22
sj,2010,5,28
sj,2010,6,32
sj,2010,7,26
sj,2010,8,32
sj,2010,9,17
sj,2010,10,39
sj,2010,11,25
sj,2010,12,17
sj,2010,13,12
sj,2010,14,22
sj,2010,15,16
