city,year,weekofyear,total_cases
sj,2008,18,19
sj,2008,19,22
sj,2008,20,9
sj,2008,21,15
sj,2008,22,21
sj,2008,23,14
sj,2008,24,21
sj,2008,25,18
sj,2008,26,26
sj,2008,27,28
sj,2008,28,21
sj,2008,29,19
sj,2008,30,22
sj,2008,31,23
sj,2008,32,40
sj,2008,33,48
sj,2008,34,29
sj,2008,35,35
sj,2008,36,32
sj,2008,37,47
sj,2008,38,32
sj,2008,39,39
sj,2008,40,43
sj,2008,41,47
sj,2008,42,65
sj,2008,43,37
sj,2008,44,53
sj,2008,45,48
sj,2008,46,41
sj,2008,47,44
sj,2008,48,65
sj,2008,49,26
sj,2008,50,39
sj,2008,51,38
sj,2008,52,38
sj,2009,1,28
sj,2009,2,8
sj,2009,3,12
sj,2009,4,23
sj,2009,5,12
sj,2009,6,18
sj,2009,7,17
sj,2009,8,20
sj,2009,9,17
sj,2009,10,11
sj,2009,11,30
sj,2009,12,9
sj,2009,13,11
sj,2009,14,17
sj,2009,15,11
sj,2009,16,11
sj,2009,17,17
sj,2009,18,19
sj,2009,19,17
sj,2009,20,26
sj,2009,21,23
sj,2009,22,16
sj,2009,23,21
sj,2009,24,19
sj,2009,25,26
sj,2009,26,24
sj,2009,27,11
sj,2009,28,22
sj,2009,29,22
sj,2009,30,19
sj,2009,31,22
sj,2009,32,17
sj,2009,33,31
sj,2009,34,26
sj,2009,35,34
sj,2009,36,37
sj,2009,37,36
sj,2009,38,29
sj,2009,39,26
sj,2009,40,45
sj,2009,41,76
sj,2009,42,45
sj,2009,43,41
sj,2009,44,29
sj,2009,45,37
sj,2009,46,21
sj,2009,47,55
sj,2009,48,25
sj,2009,49,54
sj,2009,50,45
sj,2009,51,69
sj,2009,52,35
sj,2010,53,59
sj,2010,1,30
sj,2010,2,21
sj,2010,3,24
sj,2010,4,17
sj,2010,5,19
sj,2010,6,23
sj,2010,7,27
sj,2010,8,31
sj,2010,9,15
sj,2010,10,40
sj,2010,11,32
sj,2010,12,14
sj,2010,13,10
sj,2010,14,23
sj,2010,15,16
sj,2010,16,34
sj,2010,17,18
sj,2010,18,24
sj,2010,19,29
sj,2010,20,23
sj,2010,21,28
sj,2010,22,44
sj,2010,23,21
sj,2010,24,18
sj,2010,25,37
sj,2010,26,28
sj,2010,27,23
sj,2010,28,46
sj,2010,29,34
sj,2010,30,34
sj,2010,31,24
sj,2010,32,58
sj,2010,33,29
sj,2010,34,32
sj,2010,35,37
sj,2010,36,72
sj,2010,37,23
sj,2010,38,30
sj,2010,39,33
sj,2010,40,43
sj,2010,41,56
sj,2010,42,27
sj,2010,43,25
sj,2010,44,29
sj,2010,45,47
sj,2010,46,22
sj,2010,47,19
sj,2010,48,39
sj,2010,49,33
sj,2010,50,26
sj,2010,51,70
sj,2011,52,47
sj,2011,1,12
sj,2011,2,23
sj,2011,3,11
sj,2011,4,10
sj,2011,5,13
sj,2011,6,11
sj,2011,7,8
sj,2011,8,12
sj,2011,9,14
sj,2011,10,7
sj,2011,11,10
sj,2011,12,9
sj,2011,13,24
sj,2011,14,19
sj,2011,15,18
sj,2011,16,15
sj,2011,17,17
sj,2011,18,19
sj,2011,19,17
sj,2011,20,33
sj,2011,21,39
sj,2011,22,28
sj,2011,23,38
